player_name,nationality,club,position,age,market_value_eur_m,season,competition,match_id,minutes_played,goals,assists,shots_on_target,pass_accuracy_pct,tackles,distance_covered_km,match_rating,yellow_card,red_card,fouls_committed,injured_flag
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,11.01,2025/26,Champions League,111378,53,0,0,0,,2,5.79,5.8,False,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.69,2025/26,Champions League,111379,63,0,0,0,85.2,2,10.31,6.9,False,False,3,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.61,2025/26,Champions League,111380,90,0,0,0,94.8,4,14.5,7.5,False,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,11.26,2025/26,Champions League,111381,12,0,0,0,74.9,1,0.91,4.0,False,False,3,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.5,2025/26,Champions League,111382,39,0,0,0,78.0,3,4.36,5.0,False,False,2,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.61,2025/26,Champions League,111383,14,0,0,0,76.4,0,1.1,4.2,False,False,1,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.23,2025/26,Domestic Cup,112530,82,1,0,0,60.0,4,14.32,8.1,True,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.5,2025/26,Domestic Cup,112531,90,0,0,0,85.1,1,13.17,7.2,False,False,1,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,9.5,2025/26,Domestic Cup,112532,64,0,0,0,82.7,3,9.51,6.6,False,False,1,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.01,2025/26,FIFA World Cup 2026,103224,78,0,0,0,92.9,5,,6.8,False,False,4,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.07,2025/26,FIFA World Cup 2026,103225,83,0,0,0,75.4,3,8.51,6.4,False,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.73,2025/26,FIFA World Cup 2026,103226,7,0,0,0,75.8,0,0.7,3.8,False,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,11.42,2025/26,League,109070,75,0,0,0,85.7,2,7.98,6.6,False,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,11.31,2025/26,League,109071,20,0,0,0,76.7,1,1.31,4.7,False,False,4,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.07,2025/26,League,109072,81,0,0,0,80.5,4,9.97,6.7,False,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.8,2025/26,League,109073,43,1,0,0,61.8,2,4.2,5.2,False,False,2,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.6,2025/26,League,109074,90,0,0,0,98.5,1,6.68,7.8,False,False,3,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.83,2025/26,League,109075,11,0,0,0,84.8,0,1.44,4.5,False,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.19,2025/26,League,109076,84,0,0,0,87.3,5,8.85,7.1,False,False,1,True
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,9.78,2025/26,League,109077,87,0,0,0,92.0,1,7.23,7.5,False,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,9.73,2025/26,League,109078,65,0,0,0,,3,4.25,6.2,False,False,1,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,9.89,2025/26,League,109079,10,0,0,0,67.5,0,1.03,4.6,False,False,1,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,9.64,2025/26,League,109080,64,0,0,0,78.6,2,10.82,6.7,False,False,1,True
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,9.77,2025/26,League,109081,90,0,1,0,89.0,3,11.02,7.5,False,False,1,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,11.38,2025/26,League,109082,25,0,0,0,92.2,0,3.95,4.9,False,False,3,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,9.95,2025/26,League,109083,90,0,0,0,79.4,5,5.56,7.8,False,False,0,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,9.76,2025/26,League,109084,53,0,0,0,87.5,5,7.09,5.4,True,False,3,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.94,2025/26,League,109085,83,0,0,0,90.4,2,9.31,6.6,False,False,1,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,10.95,2025/26,League,109086,45,0,0,0,37.3,2,5.12,4.8,False,False,1,False
Achraf Hakimi,Morocco,Paris Saint-Germain,RB,21,9.42,2025/26,League,109087,72,0,0,0,85.2,4,7.37,7.0,False,False,0,False
Achraf Hakimi,Unknown,Paris Saint-Germain,RB,21,10.09,2025/26,League,109088,84,0,1,0,65.9,2,11.21,7.5,False,False,0,False
